SID,LON,LAT
S.001.R,-89.3981550062,43.2211909509
S.002.R,-89.3914570058,43.2066759212
S.003.R,-89.3927460025,43.1775169556
S.004.R,-89.2872620057,43.1746369788
S.005.R,-89.1898420072,43.224254914
S.006.R,-89.238297,43.1273609367
S.007.R,-89.2386400033,43.071040913
S.008.R,-89.2283779984,43.0477519125
S.009.R,-89.2133869987,43.0646399465
S.010.R,-89.1921160025,43.0650479483
S.011.R,-89.1771620053,43.0451509291
S.012.R,-89.1702730026,43.0120199581
S.013.R,-89.2351610118,42.9937859954
S.014.R,-89.2609860055,43.0146099276
S.015.U,-89.2836689993,43.0166819815
S.016.U,-89.3058850028,43.0132179919
S.017.U,-89.3011630076,43.0132289757
S.018.U,-89.2994310005,43.013164934
S.019.U,-89.2947310062,43.0129699958
S.020.W,-89.2009350047,42.9501719762
S.021.R,-89.3341289986,42.9681659247
S.022.R,-89.4372940056,42.9523999895
S.023.R,-89.3321080093,42.9359699629
S.024.R,-89.430946004,42.9289019683
S.025.R,-89.5221939985,43.0015489297
S.026.U,-89.5309750029,42.9925379732
S.027.U,-89.5426100014,42.9875719492
S.028.R,-89.5870589968,42.9587329137
S.029.R,-89.5521320058,43.0500109242
S.030.R,-89.5763400085,43.0800779469
S.031.R,-89.539070001,43.0675469437
S.032.U,-89.4005970018,43.1378819555
S.033.U,-89.3843310033,43.1428639112
S.034.U,-89.3583979983,43.1413879387
S.035.U,-89.3143009988,43.1368029212
S.036.U,-89.3595120019,43.1226459479
S.037.U,-89.328743,43.123195949
S.038.U,-89.5312730024,43.0985299967
S.039.U,-89.5058670043,43.1077499912
S.040.U,-89.4799350057,43.1094509128
S.041.U,-89.456397999,43.1118549496
S.042.U,-89.3501360021,43.1060099641
S.043.U,-89.3318629981,43.1051899207
S.044.U,-89.3042140003,43.102973977
S.045.R,-89.2802050043,43.0992469353
S.046.U,-89.5335920083,43.0918309168
S.047.U,-89.4905090025,43.0825229171
S.048.U,-89.4510569997,43.0812189632
S.049.U,-89.4399949998,43.0862729463
S.050.U,-89.3747790008,43.0808109822
S.051.U,-89.3279500058,43.093444929
S.052.U,-89.5002590088,43.0693509783
S.053.U,-89.4765400009,43.0659519365
S.054.U,-89.4806900026,43.0535579181
S.055.U,-89.4573590009,43.0544819906
S.056.U,-89.4392550054,43.0492479631
S.057.U,-89.3916240105,43.0466999572
S.058.U,-89.3482360096,43.0459589541
S.059.U,-89.3296810016,43.0513989933
S.060.U,-89.304146006,43.0567209371
S.061.U,-89.4834749987,43.030406958
S.062.U,-89.4648060019,43.0360869477
S.063.U,-89.4273380097,43.0310969991
S.064.U,-89.3995820021,43.0299989896
S.065.U,-89.3777389995,43.0315439565
S.066.W,-89.3500060014,43.0319599558
S.067.U,-89.4671550018,43.0151979953
S.068.R,-89.3629840086,43.0040439383
S.069.R,-89.3417660058,43.0114209675
S.070.U,-89.3551030016,43.0895119103
S.071.U,-89.3078459997,43.0910149726
S.072.U,-89.2789380021,43.0882609965
S.073.U,-89.2585980037,43.0895769763
S.074.R,-89.6577529975,43.0679969265
S.075.R,-89.6400220026,43.0715409526
S.076.U,-89.5198900091,43.0682259785
S.077.U,-89.4526440022,43.0698049928
S.078.U,-89.3804470039,43.0775409711
S.079.U,-89.3296130015,43.0633769728
S.080.U,-89.303223008,43.0654369644
S.081.W,-89.2666630041,43.0702969542
S.082.W,-89.395325007,43.0203669603
S.083.R,-89.4571760105,42.9795839666
S.084.R,-89.4941560006,43.1517559121
S.085.R,-89.4993900009,43.1407969468
S.086.R,-89.4667590109,43.1372869927
S.087.R,-89.577370006,43.1254649264
S.088.U,-89.3825300014,43.0473439324
S.089.P,-89.4319230062,43.0408669712
S.090.U,-89.5445400037,42.9932059908
S.091.U,-89.424530003,43.0757369404
S.092.U,-89.4118960083,43.0752369823
S.093.U,-89.4768370033,43.0886499892
S.094.LU,-89.3807530077,43.0827329504
S.095.U,-89.3788449987,43.0825809473
S.096.U,-89.3779600053,43.0819279809
S.097.U,-89.3733519988,43.0797079353
S.098.U,-89.3710630089,43.0785259456
S.099.U,-89.3695829975,43.0782699168
S.100.LU,-89.3683240087,43.0779499531
S.101.LU,-89.3765640017,43.0872689796
S.102.U,-89.3747860094,43.0867389931
S.103.U,-89.3723370065,43.0871319861
S.104.P,-89.422455,43.1528429987
S.105.U,-89.368240007,43.0875469974
S.106.U,-89.3657990064,43.0868489783
S.107.U,-89.3609700015,43.0856359196
S.108.U,-89.3567890023,43.0853689976
S.109.LU,-89.3546300036,43.085296949
S.110.LR,-89.4246290097,43.1430629785
S.111.R,-89.4224849995,43.146823964
S.112.U,-89.4790270052,43.0867309784
S.113.U,-89.4837270112,43.0844839787
S.114.L,-89.3836900096,43.08131796
S.115.U,-89.4869230091,43.013293984
S.116.U,-89.5066449979,43.0135539468
S.117.U,-89.2914660038,43.1437229461
S.118.U,-89.4055250039,43.07346294
S.119.U,-89.3093190077,43.1251529856
S.120.L,-89.3771290031,43.1247939682
S.121.P,-89.3668590074,43.1280169645
S.122.P,-89.4872130028,43.0730439636
S.123.P,-89.5118180014,43.0371279101
S.124.U,-89.5544280034,43.0377659108
S.125.U,-89.5244140023,43.0565299978
S.126.U,-89.5126190067,43.0574229228
S.127.U,-89.5237880035,43.0338289262
S.128.W,-89.344391008,43.1746899277
S.129.R,-89.5160060109,43.2254749799
S.130.L,-89.4153750091,43.089816985
S.131.R,-89.4166870059,42.9870029738
S.132.U,-89.4381180066,43.0106769721
S.133.U,-89.4141690006,43.0655019706
S.134.U,-89.2304380104,43.187560989
S.135.U,-89.2470930102,43.1804579778
S.136.U,-89.2137450046,43.1983869585
S.137.U,-89.2229769987,43.1813959258
S.138.L,-89.3721920002,43.0960459486
S.139.U,-89.4586109995,43.1859049253
S.140.U,-89.4547120051,43.1924059409
S.141.R,-89.4023590083,43.2717129945
S.142.P,-89.2953260043,43.0943339249
S.143.P,-89.2956240104,43.088008978
S.144.U,-89.299614001,43.0937649709
S.145.U,-89.2981260104,43.0937919978
S.146.U,-89.2950820002,43.0962869341
S.147.U,-89.2943650014,43.0980989675
S.148.U,-89.2891160092,43.0975989558
S.149.U,-89.2910309988,43.0945359272
S.150.U,-89.2922440087,43.0942379774
S.151.U,-89.2942890057,43.0920909222
